*/0x0e*/0:0-(0,0)	1:2-(0,2)	2:0-(2,2)	3:0-(2,2)	4:1-(2,3)	5:1-(3,4)	6:3-(4,7)	7:5-(7,12)	
*/0x0f*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:4-(0,4)	5:1-(4,5)	6:5-(5,10)	7:3-(10,13)	
*/0x10*/0:1-(0,1)	1:0-(1,1)	2:1-(1,2)	3:0-(2,2)	4:3-(2,5)	5:0-(5,5)	6:3-(5,8)	7:0-(8,8)	
*/0x11*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:0-(0,0)	5:4-(0,4)	6:8-(4,12)	7:4-(12,16)	
*/0x12*/0:0-(0,0)	1:0-(0,0)	2:1-(0,1)	3:0-(1,1)	4:2-(1,3)	5:4-(3,7)	6:1-(7,8)	7:4-(8,12)	
*/0x13*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:1-(0,1)	4:2-(1,3)	5:0-(3,3)	6:6-(3,9)	7:7-(9,16)	
*/0x14*/0:0-(0,0)	1:1-(0,1)	2:0-(1,1)	3:0-(1,1)	4:2-(1,3)	5:3-(3,6)	6:4-(6,10)	7:0-(10,10)	
*/0x15*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:2-(0,2)	5:3-(2,5)	6:5-(5,10)	7:5-(10,15)	
*/0x16*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:1-(0,1)	4:3-(1,4)	5:2-(4,6)	6:2-(6,8)	7:5-(8,13)	
*/0x17*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:2-(0,2)	4:2-(2,4)	5:0-(4,4)	6:4-(4,8)	7:6-(8,14)	
*/0x18*/0:1-(0,1)	1:0-(1,1)	2:0-(1,1)	3:0-(1,1)	4:6-(1,7)	5:0-(7,7)	6:0-(7,7)	7:0-(7,7)	
*/0x19*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:1-(0,1)	5:4-(1,5)	6:6-(5,11)	7:4-(11,15)	
*/0x1a*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:1-(0,1)	5:4-(1,5)	6:6-(5,11)	7:4-(11,15)	
*/0x1b*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:1-(0,1)	4:1-(1,2)	5:4-(2,6)	6:4-(6,10)	7:3-(10,13)	
*/0x1c*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:4-(0,4)	5:1-(4,5)	6:5-(5,10)	7:3-(10,13)	
*/0x1d*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:1-(0,1)	4:1-(1,2)	5:2-(2,4)	6:6-(4,10)	7:5-(10,15)	
*/0x1e*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:1-(0,1)	4:1-(1,2)	5:5-(2,7)	6:3-(7,10)	7:2-(10,12)	
*/0x1f*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:2-(0,2)	5:1-(2,3)	6:9-(3,12)	7:3-(12,15)	
*/0x20*/0:0-(0,0)	1:0-(0,0)	2:1-(0,1)	3:2-(1,3)	4:0-(3,3)	5:4-(3,7)	6:2-(7,9)	7:0-(9,9)	
*/0x21*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:2-(0,2)	5:2-(2,4)	6:7-(4,11)	7:4-(11,15)	
*/0x22*/0:1-(0,1)	1:0-(1,1)	2:0-(1,1)	3:0-(1,1)	4:0-(1,1)	5:3-(1,4)	6:5-(4,9)	7:5-(9,14)	
*/0x23*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:1-(0,1)	4:2-(1,3)	5:4-(3,7)	6:2-(7,9)	7:3-(9,12)	
*/0x24*/0:0-(0,0)	1:0-(0,0)	2:1-(0,1)	3:0-(1,1)	4:3-(1,4)	5:1-(4,5)	6:4-(5,9)	7:3-(9,12)	
*/0x25*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:1-(0,1)	4:1-(1,2)	5:2-(2,4)	6:6-(4,10)	7:5-(10,15)	
*/0x26*/0:0-(0,0)	1:0-(0,0)	2:1-(0,1)	3:1-(1,2)	4:3-(2,5)	5:1-(5,6)	6:2-(6,8)	7:2-(8,10)	
*/0x27*/0:0-(0,0)	1:0-(0,0)	2:1-(0,1)	3:0-(1,1)	4:1-(1,2)	5:2-(2,4)	6:5-(4,9)	7:6-(9,15)	
*/0x28*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:2-(0,2)	5:3-(2,5)	6:6-(5,11)	7:3-(11,14)	
*/0x29*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:1-(0,1)	5:3-(1,4)	6:8-(4,12)	7:3-(12,15)	
*/0x2a*/0:0-(0,0)	1:0-(0,0)	2:1-(0,1)	3:1-(1,2)	4:2-(2,4)	5:2-(4,6)	6:1-(6,7)	7:5-(7,12)	
*/0x2b*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:1-(0,1)	4:1-(1,2)	5:4-(2,6)	6:4-(6,10)	7:3-(10,13)	
